node_id,Response_Time,Availability,Throughput,Reliability,Latency
86,268.09,55.93,21.164,54.64,114.76
87,197.43,62.71,27.181,62.44,83.74
88,248.83,81.36,40.707,78.13,97.62
89,231.31,100.00,43.844,97.46,100.98
90,269.77,55.93,19.703,54.89,105.89
91,189.87,91.53,39.016,90.74,76.33
92,213.18,76.27,26.349,74.00,82.98
93,249.36,93.22,33.146,92.47,109.12
94,247.18,67.80,22.766,67.18,107.51
95,265.98,62.71,23.240,62.06,105.04
96,218.36,69.49,24.054,69.38,83.57
97,209.61,88.14,36.637,85.41,91.47
98,175.49,77.97,29.603,75.41,73.10
99,296.78,69.49,25.281,69.36,126.13
100,239.38,91.53,43.078,89.48,91.12
101,216.51,62.71,25.935,61.84,86.37
102,238.43,59.32,23.345,59.37,104.39
103,278.76,89.83,33.253,88.52,120.46
104,246.46,72.88,31.636,71.89,104.90
105,236.49,71.19,25.280,69.67,94.76
106,249.59,83.05,26.515,80.42,99.33
107,222.49,88.14,32.113,85.82,85.01
108,288.25,72.88,26.393,71.39,117.97
109,250.45,100.00,35.672,98.74,108.87
110,277.31,100.00,40.762,98.22,106.13
111,182.17,86.44,35.029,85.46,74.20
112,265.14,94.92,48.109,93.27,108.05
113,265.05,94.92,46.695,92.96,103.86
114,207.86,45.76,18.159,45.64,91.15
115,220.46,81.36,35.734,79.72,89.50
116,271.58,61.02,22.959,61.42,117.47
117,214.52,83.05,34.237,80.36,93.09
118,308.69,67.80,26.980,65.81,121.02
119,238.62,100.00,41.109,98.04,91.48
120,195.41,49.15,29.765,49.54,82.48
121,246.98,94.92,36.937,91.99,107.22
122,237.93,74.58,38.006,73.78,104.43
123,330.81,45.76,20.898,45.43,133.68
124,272.21,62.71,28.419,61.95,114.89
125,222.43,88.14,38.900,87.54,92.49
126,242.13,100.00,41.559,97.54,95.16
127,252.87,100.00,38.267,97.18,105.89
128,214.53,100.00,36.465,98.77,93.04
129,182.08,38.98,15.592,38.75,76.93
130,178.18,77.97,31.279,77.39,71.37
131,246.76,93.22,33.317,91.85,100.08
132,178.21,74.58,24.026,72.50,76.99
133,222.30,81.36,27.941,80.66,97.58
134,258.69,100.00,43.688,98.36,109.82
135,206.22,100.00,43.888,97.72,89.21
136,184.14,81.36,32.738,80.27,76.87
137,201.91,98.31,37.109,95.85,84.30
138,242.98,96.61,36.329,95.24,95.52
139,212.56,62.71,22.459,62.92,88.90
140,232.78,89.83,33.903,86.56,97.23
141,207.41,100.00,38.854,96.10,87.37
142,262.66,57.63,20.710,55.90,103.00
143,234.75,91.53,38.718,89.54,92.14
144,363.57,55.93,21.458,56.09,144.74
145,216.93,83.05,27.805,80.62,86.55
146,214.81,71.19,27.268,68.51,92.12
147,223.49,91.53,38.645,88.31,90.74
148,216.50,88.14,32.606,85.99,96.13
149,227.83,91.53,35.603,90.55,100.78
150,211.88,100.00,37.594,97.18,81.55
151,291.41,49.15,21.486,50.00,112.34
152,227.81,88.14,36.940,85.26,95.60
153,259.37,84.75,31.425,83.14,107.26
154,202.44,74.58,28.793,71.86,78.85
155,238.33,69.49,27.758,69.71,100.46
156,262.44,83.05,35.931,82.28,109.29
157,267.51,91.53,40.759,88.99,105.22
158,190.75,93.22,38.517,91.12,84.57
159,218.32,100.00,33.681,98.85,88.50
160,231.59,67.80,25.362,66.07,96.71
161,244.67,100.00,40.625,97.26,107.86
162,355.83,59.32,23.808,59.82,147.99
163,278.04,98.31,34.874,96.20,116.58
164,231.52,94.92,37.692,91.25,93.11
165,212.01,66.10,25.628,65.17,85.14
166,176.94,93.22,39.560,92.44,82.00
167,264.14,66.10,22.109,64.01,101.01
168,252.69,100.00,39.408,97.54,110.32
169,249.45,79.66,35.273,79.46,109.77
170,270.87,66.10,28.800,64.79,106.24
171,197.10,98.31,35.360,97.09,87.55
172,239.49,88.14,31.527,85.93,105.35
173,193.34,96.61,40.340,92.90,77.20
174,206.80,100.00,40.580,96.81,83.96
175,208.92,55.93,21.162,54.26,88.61
176,210.92,61.02,23.357,59.57,88.12
177,218.47,84.75,32.835,83.20,86.57
178,233.10,76.27,28.345,76.01,101.03
179,255.05,94.92,36.618,93.42,106.01
180,235.82,84.75,29.315,81.79,100.11
181,203.34,49.15,17.968,48.37,83.12
182,253.22,96.61,34.317,95.57,102.30
183,223.84,74.58,31.577,72.68,96.81
184,263.68,54.24,21.488,53.85,103.27
185,264.70,77.97,37.287,77.71,105.91
186,244.59,81.36,31.978,78.88,99.90
187,305.81,81.36,32.330,80.53,119.01
188,202.04,86.44,38.671,83.45,90.53
189,203.70,81.36,31.760,79.48,79.37
190,252.12,91.53,35.722,89.71,107.88
191,183.29,33.90,9.670,34.79,73.27
192,253.80,57.63,20.919,57.82,109.36
193,230.25,100.00,39.680,97.23,87.52
194,209.44,100.00,39.700,96.43,83.05
195,228.49,77.97,32.753,75.67,98.84
196,183.73,72.88,30.660,70.71,73.00
197,303.21,27.12,9.474,28.61,118.24
198,224.11,71.19,29.049,70.82,90.52
199,289.24,54.24,23.601,52.52,124.38
200,210.35,81.36,29.791,80.14,92.88
201,248.23,74.58,29.172,74.17,101.04
202,235.76,94.92,33.881,92.93,95.47
203,235.87,100.00,40.020,97.51,103.75
204,226.92,94.92,42.178,94.08,92.24
205,255.43,42.37,18.500,41.19,108.72
206,240.39,91.53,34.778,88.45,103.97
207,332.22,66.10,23.983,63.71,133.91
208,218.73,96.61,39.743,94.77,92.13
209,233.36,55.93,22.781,55.00,93.59
210,257.73,84.75,40.088,84.21,103.58
211,178.71,100.00,36.468,97.53,80.77
212,238.05,100.00,43.232,97.29,102.15
213,220.54,69.49,28.988,67.85,98.50
214,215.18,84.75,27.468,82.37,86.56
215,254.70,77.97,29.967,75.15,108.97
216,190.95,91.53,36.197,90.75,81.60
217,215.38,71.19,28.346,70.58,82.19
218,275.36,77.97,32.309,77.21,112.01
219,179.93,77.97,31.459,75.36,80.28
220,248.90,84.75,34.687,84.23,97.71
221,223.41,50.85,21.316,48.84,88.72
222,214.70,55.93,19.281,53.98,87.20
223,234.36,96.61,39.069,95.61,103.74
224,235.89,71.19,23.164,69.58,100.43
225,182.73,79.66,31.340,76.70,71.93
226,228.71,100.00,38.606,97.69,99.25
227,229.58,52.54,20.388,51.90,94.50
228,187.05,83.05,39.836,82.11,78.87
229,213.81,100.00,39.519,97.55,83.24
230,256.39,54.24,17.964,53.68,109.37
231,219.40,69.49,26.287,67.03,92.45
232,244.07,54.24,24.705,53.99,105.79
233,234.43,100.00,38.236,96.19,100.65
234,198.15,88.14,34.638,85.04,87.72
235,253.31,100.00,31.997,97.36,102.10
236,242.69,66.10,29.756,65.46,103.11
237,218.08,62.71,28.140,61.34,95.78
238,184.86,84.75,39.749,82.05,73.41
239,234.26,67.80,28.323,65.32,90.19
240,242.90,69.49,26.160,68.03,105.08
241,219.30,62.71,22.389,61.25,90.88
242,223.83,55.93,20.380,56.50,86.84
243,268.82,76.27,26.406,73.34,105.22
244,245.65,100.00,40.762,96.45,101.81
245,182.99,38.98,12.699,38.68,75.86
246,240.08,42.37,18.423,41.67,93.32
247,230.65,71.19,25.246,68.81,93.49
248,262.56,91.53,38.106,88.28,110.72
249,198.17,98.31,35.522,96.45,83.78
250,264.74,86.44,35.256,83.12,114.63
251,207.26,100.00,34.977,98.21,80.33
252,290.74,35.59,17.042,34.56,123.08
253,202.26,40.68,17.363,41.58,83.24
254,205.47,64.41,22.224,64.59,78.27
255,234.03,77.97,34.684,77.71,103.27
256,284.11,89.83,34.716,87.28,112.08
257,225.88,35.59,12.427,34.35,96.69
258,301.00,88.14,33.927,87.45,126.60
259,267.19,57.63,25.615,56.04,105.37
260,249.12,100.00,43.536,98.91,96.12
261,291.18,94.92,37.382,92.69,116.43
262,350.80,37.29,17.116,36.29,142.57
263,217.12,88.14,36.534,85.52,96.56
264,195.11,71.19,32.177,70.21,88.83
265,229.83,91.53,30.494,88.48,101.67
266,265.87,96.61,41.298,93.40,115.22
267,202.61,100.00,36.851,98.09,78.10
268,228.40,94.92,34.303,93.57,88.32
269,285.91,100.00,38.834,98.89,121.68
270,253.33,69.49,29.110,68.92,103.58
271,242.30,86.44,37.608,82.99,100.52
272,188.67,67.80,29.008,66.76,73.74
273,204.07,50.85,21.640,49.38,81.00
274,268.80,83.05,29.372,82.09,112.97
275,263.76,61.02,23.941,58.79,111.31
276,226.92,94.92,38.712,92.81,95.86
277,262.65,100.00,39.153,97.57,100.21
278,258.75,86.44,31.431,83.04,109.40
279,271.55,100.00,32.827,98.73,117.60
280,210.20,100.00,34.445,98.25,87.20
281,257.92,62.71,24.337,61.39,111.74
282,202.37,98.31,31.130,95.09,91.54
283,225.05,40.68,13.576,39.36,92.46
284,216.05,94.92,39.747,94.07,84.26
285,244.23,74.58,26.693,72.67,92.92
286,215.48,72.88,30.773,71.80,94.44
287,231.92,35.59,15.086,36.87,102.97
288,253.12,84.75,33.350,81.99,110.19
289,254.53,98.31,39.477,95.95,101.42
290,209.16,89.83,37.966,88.13,85.76
291,170.29,100.00,36.722,97.07,64.93
292,224.99,71.19,25.352,69.89,94.57
293,260.35,69.49,24.995,68.40,110.06
294,248.24,100.00,39.001,97.82,106.64
295,241.08,77.97,30.955,75.25,100.22
296,207.54,69.49,29.531,68.72,91.01
297,229.79,93.22,35.785,89.59,99.77
298,259.67,88.14,31.563,85.66,110.05
299,220.94,100.00,42.459,98.61,98.85
300,266.66,55.93,25.213,54.37,106.48
301,218.83,83.05,26.613,79.89,92.31
302,243.38,64.41,25.330,62.34,99.26
303,204.03,91.53,41.617,88.50,78.27
304,246.81,88.14,34.765,85.46,97.35
305,209.88,59.32,22.908,58.66,83.75
306,189.28,47.46,20.456,47.14,72.14
307,244.25,91.53,35.631,90.62,98.18
308,230.98,93.22,34.213,90.66,88.72
309,206.47,98.31,40.429,96.43,85.90
310,248.34,100.00,45.396,98.60,106.59
311,255.21,96.61,37.568,94.71,97.02
312,213.94,84.75,33.123,82.17,81.75
313,294.21,59.32,19.839,59.59,122.95
314,234.53,72.88,29.344,71.34,97.03
315,181.82,22.03,8.681,22.19,79.83
316,219.84,91.53,35.903,88.75,94.60
317,191.38,89.83,44.732,86.39,83.26
318,228.96,100.00,38.262,96.98,99.88
319,207.88,94.92,33.114,91.83,80.83
320,184.71,94.92,38.566,93.97,80.29
321,239.26,50.85,19.465,50.83,102.25
322,189.99,77.97,31.529,76.57,74.50
323,273.18,83.05,31.525,79.79,116.62
324,209.36,71.19,26.329,70.29,91.65
325,224.66,98.31,42.880,96.03,89.31
326,236.80,77.97,31.297,76.81,95.59
327,245.31,74.58,28.757,73.60,101.46
328,250.94,44.07,15.079,44.36,108.41
329,257.57,74.58,36.630,74.49,110.62
330,265.90,52.54,20.940,51.78,103.34
331,240.98,77.97,32.007,77.45,92.14
332,246.62,84.75,32.453,81.87,96.57
333,299.21,86.44,34.698,83.44,115.51
334,239.45,83.05,40.637,80.14,104.75
335,284.85,69.49,25.087,67.09,111.79
336,248.38,64.41,24.634,62.54,96.60
337,305.02,45.76,14.738,45.19,122.48
338,319.82,86.44,36.541,83.93,125.66
339,284.50,100.00,42.875,96.06,116.35
340,241.54,89.83,40.023,88.79,101.16
341,274.58,100.00,40.675,97.16,114.79
342,242.76,100.00,35.373,98.22,94.87
343,297.64,57.63,25.754,55.69,125.15
344,221.55,72.88,23.446,70.08,84.78
345,252.99,94.92,38.344,91.43,99.69
346,206.53,100.00,43.268,98.06,86.34
347,216.97,54.24,21.846,53.72,97.37
348,243.57,89.83,30.549,87.30,104.63
349,252.46,76.27,28.574,73.38,100.78
350,219.37,100.00,39.850,98.66,87.35
351,300.93,72.88,33.214,70.68,120.44
352,211.14,86.44,38.529,85.60,85.10
353,220.06,81.36,27.690,78.95,96.09
354,183.10,83.05,34.416,80.95,71.45
355,279.91,93.22,38.142,90.41,119.12
356,259.16,66.10,26.923,63.73,111.26
357,219.69,77.97,32.906,75.39,84.51
358,248.68,57.63,19.276,55.36,101.87
359,246.68,84.75,33.708,81.92,95.25
360,221.22,71.19,31.736,69.71,96.64
361,216.89,62.71,30.542,62.14,95.59
362,280.50,100.00,39.954,98.51,109.28
363,253.59,71.19,29.721,69.38,107.99
364,299.81,83.05,36.647,81.08,122.80
365,238.45,79.66,31.508,78.45,97.19
366,290.40,77.97,28.761,76.13,110.64
367,229.81,100.00,35.908,98.25,90.62
368,238.34,76.27,32.041,74.53,95.86
369,221.20,100.00,38.608,97.52,90.46
370,225.96,84.75,35.333,82.88,93.52
371,196.74,49.15,17.747,48.59,77.33
372,241.65,76.27,29.360,75.28,94.10
373,240.16,96.61,44.004,93.19,97.96
374,297.94,96.61,39.321,95.58,113.43
375,256.88,100.00,37.350,96.05,101.24
376,242.21,98.31,40.224,95.28,92.22
377,282.86,100.00,39.223,97.52,120.67
378,247.04,69.49,29.652,69.28,96.84
379,231.10,100.00,40.655,97.01,95.27
380,263.84,57.63,22.674,58.24,105.93
381,208.77,86.44,37.596,84.99,88.01
382,244.05,100.00,41.199,98.39,103.39
383,244.54,100.00,38.597,97.58,103.08
384,254.26,71.19,25.859,70.47,109.33
385,277.24,72.88,28.667,70.71,106.33
386,243.93,84.75,28.443,82.71,97.35
387,239.00,71.19,24.050,70.48,103.38
388,240.56,100.00,45.294,96.33,99.82
389,229.92,72.88,33.229,71.26,89.21
390,279.06,100.00,45.674,97.00,119.84
391,246.91,100.00,38.979,98.13,100.53
392,212.87,100.00,34.475,98.09,93.63
393,203.76,62.71,23.954,61.51,91.92
394,248.08,66.10,26.682,64.37,99.13
395,232.76,96.61,36.359,93.58,91.88
396,228.57,28.81,9.632,28.88,101.58
397,282.57,67.80,26.936,66.29,113.20
398,279.24,91.53,34.961,87.95,113.47
399,239.60,76.27,29.496,73.87,95.17
400,238.68,81.36,31.139,79.08,92.38
401,218.85,91.53,31.273,90.79,91.37
402,233.75,72.88,30.839,71.93,99.85
403,236.50,54.24,19.656,53.72,93.34
404,237.13,79.66,29.851,77.05,101.77
405,226.30,100.00,34.894,96.17,90.45
406,211.36,47.46,20.198,46.29,83.28
407,261.66,67.80,25.065,66.75,108.04
408,272.96,71.19,31.987,69.08,111.81
409,273.87,61.02,25.824,60.17,107.57
410,237.17,100.00,40.639,98.58,95.53
411,259.52,98.31,39.304,95.58,102.61
412,165.82,47.46,15.503,47.14,72.28
413,204.65,93.22,36.635,92.16,90.60
414,256.16,72.88,27.229,70.82,106.01
415,250.14,77.97,33.427,76.70,100.22
416,206.45,98.31,42.364,96.27,87.75
417,269.65,100.00,33.510,96.29,110.07
418,274.18,89.83,31.794,88.52,116.71
419,234.02,38.98,15.922,39.51,91.84
420,224.23,77.97,35.334,76.47,95.73
421,260.32,93.22,36.217,89.88,99.04
422,242.55,100.00,41.835,96.76,95.38
423,233.84,94.92,41.595,92.68,97.46
424,220.35,52.54,20.306,50.64,95.28
425,212.91,77.97,30.881,77.82,82.93
426,217.66,69.49,21.240,67.05,94.63
427,231.40,98.31,38.163,95.77,97.79
428,210.37,89.83,32.692,89.11,88.46
429,208.72,100.00,36.616,96.55,84.77
430,202.59,57.63,24.706,55.83,91.20
431,206.90,71.19,30.373,69.24,88.18
432,197.92,84.75,31.265,83.80,86.30
433,201.61,100.00,31.627,98.60,84.53
434,226.11,100.00,39.962,97.67,89.78
435,269.24,94.92,37.697,91.91,112.39
436,232.08,100.00,34.869,96.76,91.57
437,280.73,83.05,32.504,80.62,111.34
438,305.79,76.27,28.004,75.91,124.32
439,217.78,100.00,40.407,98.94,85.88
440,271.77,100.00,37.038,96.05,112.05
441,313.57,84.75,36.143,81.83,130.04
442,189.59,61.02,25.649,60.36,82.35
443,208.85,96.61,37.593,92.88,93.98
444,272.06,98.31,39.763,97.35,104.80
445,285.67,49.15,19.131,50.02,123.54
446,258.68,59.32,23.523,57.96,102.52
447,218.59,100.00,42.575,97.34,85.55
448,239.88,100.00,37.857,96.85,101.85
449,278.81,100.00,44.134,97.57,113.62
450,168.54,67.80,25.205,65.49,67.90
451,223.89,66.10,29.608,64.01,94.38
452,237.99,84.75,31.156,83.84,94.52
453,245.09,96.61,40.836,94.09,103.80
454,286.74,81.36,26.123,79.34,109.28
455,203.52,94.92,37.382,93.24,77.49
456,206.17,55.93,20.401,54.33,85.59
457,200.83,93.22,42.841,91.77,78.67
458,230.48,100.00,37.797,96.15,99.60
459,223.60,100.00,39.206,96.25,90.08
460,221.93,67.80,24.953,67.02,93.42
461,252.15,86.44,31.528,83.84,97.40
462,224.12,76.27,30.557,74.25,87.65
463,236.69,86.44,39.485,85.91,94.21
464,222.42,96.61,45.359,93.62,97.78
465,267.77,79.66,36.966,78.49,106.18
466,183.59,79.66,31.706,77.33,84.09
467,198.57,62.71,25.290,62.80,77.68
468,222.07,77.97,33.869,75.97,85.72
469,231.03,94.92,36.824,93.14,100.45
470,199.34,49.15,18.017,49.26,77.16
471,248.94,91.53,41.800,88.18,101.99
472,252.04,100.00,38.809,98.28,107.35
473,183.30,100.00,35.982,97.32,75.96
474,241.76,72.88,24.500,72.92,106.76
475,229.79,88.14,38.064,86.68,97.86
476,281.52,81.36,36.055,81.02,108.04
477,313.31,76.27,28.922,75.69,120.44
478,254.32,83.05,30.050,81.90,104.64
479,212.67,83.05,32.682,82.41,81.29
480,220.43,89.83,34.188,88.68,86.38
481,220.17,100.00,35.938,98.80,91.47
482,231.59,100.00,35.155,96.51,100.72
483,196.94,96.61,36.305,93.15,88.66
484,242.85,77.97,33.665,74.98,104.03
485,244.84,47.46,17.749,46.94,99.11
486,231.22,66.10,32.942,64.98,93.30
487,221.56,100.00,42.784,98.09,93.42
488,260.00,84.75,32.456,83.71,101.33
489,205.76,66.10,29.569,65.03,83.25
490,248.71,91.53,34.365,89.19,107.06
491,285.20,62.71,28.711,60.79,113.72
492,251.13,76.27,29.854,75.14,105.69
493,237.31,100.00,39.856,96.09,97.46
494,271.59,100.00,39.185,97.05,108.68
495,263.82,54.24,22.100,54.82,110.97
496,196.53,79.66,31.493,78.50,86.88
497,292.88,37.29,15.008,38.31,122.58
498,219.51,88.14,35.555,85.26,91.86
499,239.99,93.22,38.443,90.66,103.36
500,203.02,55.93,21.704,55.83,78.88
501,254.46,100.00,38.280,96.47,101.63
502,231.26,89.83,37.401,89.17,94.16
503,215.01,86.44,32.302,85.52,89.08
504,269.03,96.61,38.931,94.70,112.10
505,256.03,100.00,44.828,96.08,109.38
506,254.31,77.97,32.444,74.91,104.41
507,236.35,38.98,16.211,38.73,100.64
508,249.20,100.00,38.834,98.17,106.42
509,270.05,62.71,25.673,62.61,106.20
510,193.95,69.49,24.375,66.78,83.17
511,259.11,76.27,24.157,74.18,109.64
512,224.36,64.41,22.810,64.57,89.94
513,243.04,84.75,34.567,84.24,105.02
514,239.08,84.75,32.024,82.21,103.94
515,254.43,100.00,43.853,96.13,108.53
516,335.68,77.97,34.965,77.63,135.64
517,242.60,54.24,24.187,54.07,95.58
518,262.17,100.00,38.467,96.88,113.31
519,254.17,100.00,37.429,98.30,101.90
520,247.26,89.83,34.841,87.70,102.75
521,264.60,76.27,29.698,76.02,104.94
522,230.28,93.22,36.509,90.06,101.90
523,319.57,62.71,24.512,61.13,126.91
524,239.42,72.88,27.590,72.34,91.06
525,228.25,93.22,39.632,90.37,91.02
526,235.42,45.76,16.050,44.88,96.82
527,252.87,28.81,11.568,27.83,107.04
528,258.41,81.36,28.172,79.38,108.59
529,221.96,76.27,28.844,74.16,92.77
530,245.14,84.75,33.958,81.55,107.37
531,226.02,79.66,29.291,77.02,87.18
532,292.88,55.93,20.536,53.99,118.59
533,249.66,79.66,35.078,77.70,95.70
534,195.40,100.00,45.042,98.05,87.34
535,184.19,61.02,22.664,60.79,81.50
536,215.22,67.80,26.579,67.85,82.10
537,239.17,96.61,41.963,94.84,99.52
538,217.18,100.00,38.550,98.36,85.66
539,278.64,71.19,31.277,70.04,110.01
540,226.52,98.31,37.295,94.96,96.83
541,249.64,64.41,26.556,64.78,100.05
542,271.78,64.41,23.383,63.84,114.34
543,267.39,86.44,36.000,83.30,113.67
544,180.85,98.31,34.257,96.87,83.26
545,233.03,96.61,35.471,95.74,95.20
546,228.35,100.00,37.853,98.23,99.84
547,238.45,88.14,36.104,86.09,99.34
548,265.50,88.14,32.046,87.37,114.62
549,232.46,72.88,31.572,71.52,89.24
550,249.74,96.61,33.641,94.66,99.11
551,194.20,94.92,42.504,92.93,75.06
552,316.27,94.92,39.880,91.41,125.46
553,263.25,96.61,37.259,92.85,111.10
554,255.23,91.53,35.144,90.31,98.07
555,231.05,72.88,28.000,72.61,93.62
556,238.48,50.85,17.821,50.78,100.59
557,159.88,94.92,37.358,91.21,75.48
558,372.15,64.41,26.930,64.03,148.83
559,235.63,54.24,22.117,52.36,92.83
560,188.22,93.22,34.097,91.29,84.55
561,204.46,67.80,23.279,65.33,91.57
562,248.08,100.00,39.100,98.71,100.17
563,227.80,96.61,36.505,94.05,93.47
564,318.53,77.97,29.886,75.09,122.48
565,358.21,38.98,18.425,38.33,150.34
566,293.82,57.63,23.656,56.43,124.99
567,245.91,50.85,23.371,50.28,95.90
568,238.23,88.14,35.567,87.32,92.63
569,329.26,100.00,48.113,98.71,131.24
570,267.99,74.58,33.397,73.04,116.79
571,258.91,100.00,38.645,96.33,103.78
572,234.01,74.58,33.534,71.76,102.41
573,242.67,100.00,35.553,98.47,105.75
574,279.43,59.32,21.767,59.87,108.61
575,178.36,40.68,21.255,39.55,70.51
576,225.45,98.31,37.421,95.65,97.86
577,262.06,86.44,31.719,85.21,110.18
578,257.09,94.92,36.549,93.19,111.83
579,247.11,88.14,43.267,86.62,95.49
580,230.77,91.53,30.561,88.42,97.41
581,244.59,91.53,35.024,90.72,97.75
582,264.07,91.53,38.310,89.50,104.78
583,305.57,77.97,36.370,77.28,121.08
584,237.92,52.54,21.010,51.94,93.78
585,270.32,76.27,32.268,75.63,106.62
586,222.23,71.19,28.195,69.74,87.53
587,280.54,66.10,30.513,66.07,115.49
588,201.07,100.00,37.803,97.56,90.44
589,333.44,62.71,21.746,62.68,134.52
590,205.35,100.00,38.136,97.48,87.23
591,260.59,93.22,32.883,89.66,113.09
592,218.11,83.05,35.032,82.31,85.07
593,237.52,100.00,40.847,98.03,95.76
594,232.05,100.00,40.527,96.63,101.40
595,205.16,93.22,34.019,91.65,81.80
596,214.94,57.63,25.220,58.17,94.21
597,212.60,76.27,32.601,74.65,86.08
598,221.58,83.05,34.957,80.46,88.11
599,228.96,77.97,31.711,76.32,95.81
600,167.19,59.32,24.000,57.08,64.64
601,336.53,62.71,25.858,61.03,139.10
602,240.95,74.58,24.121,73.01,92.78
603,237.92,88.14,35.548,85.60,97.99
604,199.62,59.32,26.140,59.12,78.42
605,225.14,54.24,20.858,54.04,96.96
606,265.90,94.92,35.099,91.57,110.66
607,258.66,91.53,37.948,89.35,99.93
608,203.98,91.53,43.011,88.40,86.66
609,171.91,20.34,8.103,21.67,68.88
610,230.49,93.22,32.699,90.07,87.89
611,247.05,74.58,27.597,74.30,99.83
612,226.62,77.97,30.591,76.79,87.69
613,201.16,62.71,20.752,62.98,87.38
614,197.22,86.44,38.482,83.54,79.18
615,251.10,74.58,31.833,72.96,96.52
616,212.74,64.41,24.057,63.97,86.63
617,178.93,69.49,28.086,68.74,69.58
618,240.84,61.02,21.903,61.51,103.50
619,208.22,81.36,30.030,78.87,80.12
620,234.33,79.66,34.427,77.81,97.26
621,238.17,100.00,33.735,97.24,92.13
622,216.37,86.44,30.531,85.68,92.03
623,234.69,93.22,35.118,91.86,93.46
624,194.99,81.36,36.846,79.66,75.19
625,214.40,67.80,26.592,67.29,89.18
626,279.61,98.31,33.549,97.05,111.82
627,262.67,77.97,29.893,76.36,106.07
628,288.61,79.66,32.909,78.80,122.79
629,265.86,89.83,38.945,88.76,113.27
630,240.69,91.53,39.812,88.45,97.71
631,253.92,89.83,33.026,87.32,108.26
632,252.07,100.00,42.671,98.83,109.95
633,268.32,100.00,38.537,96.55,110.77
